None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,U n Me,Anamanaguchi,LyricsData/U-n-Me_Anamanaguchi.txt,None,None,None,None,ImgData/U-n-Me_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Meow,Anamanaguchi,LyricsData/Meow_Anamanaguchi.txt,None,None,None,None,ImgData/Meow_Anamanaguchi.jpg,,None,3,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,(T-T)b,Anamanaguchi,LyricsData/(T-T)b_Anamanaguchi.txt,None,None,None,None,ImgData/(T-T)b_Anamanaguchi.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Japan Air,Anamanaguchi,LyricsData/Japan-Air_Anamanaguchi.txt,None,None,None,None,ImgData/Japan-Air_Anamanaguchi.jpg,,None,3,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Miku,Anamanaguchi,LyricsData/Miku_Anamanaguchi.txt,None,None,None,None,ImgData/Miku_Anamanaguchi.jpg,初音ミク Hatsune Miku,None,5,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Pop It,Anamanaguchi,LyricsData/Pop-It_Anamanaguchi.txt,June 19 2014,None,None,None,ImgData/Pop-It_Anamanaguchi.jpg,,None,6,None,None,None,None,None,None,None,None,None,None
Ashley Eskrett,Kurt Feldman,Gabe Liberti,Anamanaguchi,None,None,None,None,None,None,None,None,None,None,None,None,Prom Night,Anamanaguchi,LyricsData/Prom-Night_Anamanaguchi.txt,May 14 2013,None,None,None,ImgData/Prom-Night_Anamanaguchi.jpg,Bianca Raquel,None,3,None,None,None,None,None,None,None,None,None,None
SEMDÓ,None,None,None,None,None,None,None,None,None,SEMDÓ,None,None,None,None,None,Eutanasia,SEMDÓ,LyricsData/Eutanasia_SEMDÓ.txt,December 25 2016,None,None,None,ImgData/Eutanasia_SEMDÓ.jpg,PEZT,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Worthy,None,None,None,None,None,None,None,None,None,SEMDÓ,None,None,None,None,None,Ou Se Adapta Ou Morre,SEMDÓ,LyricsData/Ou-Se-Adapta-Ou-Morre_SEMDÓ.txt,December 25 2016,None,None,None,ImgData/Ou-Se-Adapta-Ou-Morre_SEMDÓ.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Emanuel (rapper),None,None,None,None,None,None,None,None,None,SEMDÓ,None,None,None,None,None,Meu EU Insano,SEMDÓ,LyricsData/Meu-EU-Insano_SEMDÓ.txt,November 4 2016,None,None,None,ImgData/Meu-EU-Insano_SEMDÓ.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
