Artist,Album,Year,Song,Feature1,Feature2,Feature3,Feature4
Cypress Hill,Skull & Bones,2000,Get Out of My Head (Ft. C. Wolbers & D. Cazares (Fear Factory)),C. Wolbers,D. Cazares (Fear Factory),None,None
Cypress Hill,Skull & Bones,2000,Can't Get the Best of Me,None,None,None,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,Its Alright Now,None,None,None,None
Cypress Hill,Skull & Bones,2000,A Man,None,None,None,None
Cypress Hill,Skull & Bones,2000,Dust,None,None,None,None
Cypress Hill,Skull & Bones,2000,(Rock) Superstar,None,None,None,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,Memories,None,None,None,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,"Swank Sinatra (Ft. Capital STEEZ, CJ Fly & Joey Bada$$)",Capital STEEZ,CJ Fly,Joey Bada$$,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,Wake Up Free,None,None,None,None
Cypress Hill,Skull & Bones,2000,Jack You Back,None,None,None,None
Cypress Hill,Skull & Bones,2000,Do You Know Who I Am (Bonus Track),None,None,None,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,I Like (Ft. #BNFB),#BNFB,None,None,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,New Brooklyn,None,None,None,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,Father's Day,None,None,None,None
Dyme-A-Duzin,A Portrait of Donnovan,2013,This Is My World,None,None,None,None
